Id,DateReceived,ReceivedQ,DateValid,Authority,Constituency,AppType,AppCategory,StatsCategory,Urban_Rural,HousingType,RenewableType,Proposal,Location,Easting,Northing,Status@31Mar,Decision_Withdrawal,DecisionIssuedDate,DecidedQ,DateWithdrawn,WithdrawnQ,processingtime_wks,Live@31Mar,timeinsystem
A/2014/0498/F,03/10/2014,,03/10/2014,Derry and Strabane,FOYLE,Full,Local,Industrial,Rural: Countryside, , ,Retention of coal storage and distribution yard,Site adjacent to 13 Carrakeel Drive  Maydown  Derry,"247,876","420,370",Withdrawn,Withdrawn,,,16/12/2016,Q3,110.2,, 
A/2014/0503/F,13/10/2014,,13/10/2014,Derry and Strabane,FOYLE,Full,Local,Residential,Urban,Urban housing developments, ,2 detached dwellings and garages with associated site works.,35 Limavady Road  Derry,"244,779","417,318",Pending, ,,,,,,1,12 months and over
A/2014/0515/F,21/10/2014,,21/10/2014,Derry and Strabane,FOYLE,Full,Local,Civic,Rural: Countryside, ,Single wind turbine,Proposed wind turbine 50 metres to hub and with blade diameter of 54 metres,Lands approximately 390 metres east of 55 Rushall Road  Londonderry BT47 3UG,"244,953","411,513",Refused,Refused,07/07/2016,Q2,,,85.2,, 
A/2014/0516/F,17/10/2014,,17/10/2014,Derry and Strabane,FOYLE,Full,Local,Civic,Rural: Countryside, ,Single wind turbine,Wind turbine 50 metres to hub and with blade diameter of 54 metres,Approximately 570 metres south east of 55 Rushall Road  Londonderry.,"244,885","411,226",Refused,Refused,07/07/2016,Q2,,,85.6,, 
A/2014/0531/O,30/10/2014,,30/10/2014,Derry and Strabane,FOYLE,Outline,Local,Residential,Rural: Countryside,Replacement single rural dwellings (countryside), ,Single storey replacement dwelling (amended description),45m south of 54 Kilnappy Road  Campsie,"249,206","417,552",Approved,Approved,18/07/2016,Q2,,,84.8,, 
A/2014/0538/F,03/11/2014,,03/11/2014,Derry and Strabane,FOYLE,Full,Local,Change of Use,Rural: Countryside, , ,"20 no pitches for touring motorhomes, caravans or tents to include electric hook ups (amended site).",49 Upper Galliagh Road  Derry,"241,415","422,244",Pending, ,,,,,,1,12 months and over
A/2014/0548/F,10/11/2014,,10/11/2014,Derry and Strabane,EAST LONDONDERRY,Full,Local,Civic,Rural: Countryside, ,Single wind turbine,Erection of a single wind turbine with hub height of 46m,Approx 1000m North of 62 Muldonagh Road  Claudy,"258,172","410,441",Approved,Approved,22/07/2016,Q2,,,84.2,, 
A/2014/0553/F,12/11/2014,,12/11/2014,Derry and Strabane,FOYLE,Full,Local,Civic,Urban, , ,"Proposed two storey police custody suite with associated onsite parking and additional external works to include new public pedestrian access via Crescent Link, the relocation of existing bus stop and existing vehicle/ pedestrian emergency exit gates along Crescent Link, introduction of a pedestrian roadside guarding and adjustments to junction of Lisnagelvin Road.",51a Richill Park  Londonderry,"245,342","416,049",Approved,Approved,21/11/2016,Q3,,,100.8,, 
A/2014/0558/F,04/11/2014,,04/11/2014,Derry and Strabane,FOYLE,Full,Major,Civic,Rural: Countryside, , ,Installation of a wind turbine with tower height of 40m and a blade span off 30m accessed via the existing laneway.,Lands 800m west of 7 Sheriffs Road  Derry City.,"239,947","417,164",Pending, ,,,,,,1,12 months and over
A/2014/0566/F,20/11/2014,,20/11/2014,Derry and Strabane,EAST LONDONDERRY,Full,Local,Civic,Rural: Countryside, ,Single wind turbine,225kw wind turbine on a 33m tower with 29m blades providing electricity to the farm with excess into the grid.,Proposed 225kw wind turbine 529m south of 35 Terrydreen Road Feeny,"260,765","404,183",Approved,Approved,14/07/2016,Q2,,,81.4,, 
A/2014/0567/F,21/11/2014,,21/11/2014,Derry and Strabane,FOYLE,Full,Local,Civic,Rural: Countryside, ,Single wind turbine,"Erection of single wind turbine - 30m hub height with 14.55m blades, associated access and 2no. electricity cabinets.",Lands 140m North West of 12 Heather Road Derry,"239,756","416,042",Pending, ,,,,,,1,12 months and over
A/2014/0585/F,25/11/2014,,25/11/2014,Derry and Strabane,FOYLE,Full,Local,Mixed Use,Urban, , ,Erection of two storey extension to HMO to provide additional bedrooms and kitchen space and ground floor amenity space,27 Princes Street  Derry  BT48 7EZ,"243,186","417,321",Approved,Approved,17/08/2016,Q2,,,85.6,, 
A/2014/0592/F,01/12/2014,,01/12/2014,Derry and Strabane,FOYLE,Full,Local,Residential,Urban,Urban housing developments, ,"Erection of 39 apartments (4 storey building) with associated parking, landscaping, site works and new access arrangements.",8-10 Victoria Road  Derry  BT472AB,"243,633","415,835",Pending, ,,,,,,1,12 months and over
A/2014/0613/F,11/12/2014,,11/12/2014,Derry and Strabane,FOYLE,Full,Major,Civic,Rural: Countryside, , ,"Proposed new 4g pitch, youth changing rooms and remodelling of existing east stand",Institute Football Club  Riverside Stadium  YMCA Grounds 51 Glenshane Road  Derry,"246,324","414,484",Approved,Approved,20/10/2016,Q3,,,92.2,, 
